question_id,last_activity_date,title,view_count,score,tags,is_answered
11227809,2016-03-18 15:21:25,Why is processing a sorted array faster than an unsorted array?,763090,13991,"['java', 'c++', 'performance', 'optimization', 'branch-prediction']",True
927358,2016-03-17 08:36:29,How do you undo the last commit?,3016755,9613,"['git', 'git-commit', 'git-reset']",True
179123,2016-03-17 12:51:58,Edit an incorrect commit message in Git,1580022,7688,"['git', 'git-commit', 'git-rewrite-history', 'amend']",True
2003505,2016-03-17 03:41:53,Delete a Git branch both locally and remotely,2526493,7057,"['git', 'github', 'git-branch', 'git-remote']",True
477816,2016-03-14 10:24:29,What is the correct JSON content type?,1320647,6479,"['json', 'content-type']",True
292357,2016-01-25 17:28:50,What are the differences between &#39;git pull&#39; and &#39;git fetch&#39;?,1218582,5828,"['git', 'git-pull', 'git-fetch']",True
111102,2016-03-15 17:12:58,How do JavaScript closures work?,752594,5556,"['javascript', 'closures']",True
1642028,2016-02-22 13:35:26,What is the name of the &quot;--&gt;&quot; operator?,406522,5146,"['c++', 'c', 'operators', 'code-formatting', 'standards-compliance']",True
503093,2016-03-04 10:49:06,How can I make a page redirect using jQuery?,2751096,4849,"['javascript', 'jquery', 'redirect']",True
79923,2015-12-29 23:59:09,What and where are the stack and heap?,771784,4753,"['memory-management', 'language-agnostic', 'stack', 'heap']",True
231767,2016-03-07 15:46:18,What does the yield keyword do in Python?,917524,4611,"['python', 'iterator', 'generator', 'yield', 'coroutine']",True
14994391,2015-06-24 10:00:21,&quot;Thinking in AngularJS&quot; if I have a jQuery background?,606190,4536,"['javascript', 'jquery', 'angularjs', 'design']",True
348170,2015-12-08 09:58:33,Undo &#39;git add&#39; before commit,1092738,4471,"['git', 'version-control', 'git-stage']",True
1335851,2016-03-17 07:33:44,"What does &quot;use strict&quot; do in JavaScript, and what is the reasoning behind it?",611425,4396,"['javascript', 'syntax', 'jslint', 'use-strict']",True
178325,2016-03-10 17:18:21,Checking if an element is hidden,1381240,4383,"['javascript', 'jquery', 'dom', 'visibility']",True
1789945,2016-03-03 22:09:28,How can I check if one string contains another substring?,2820303,4362,"['javascript', 'string', 'string-matching']",True
388242,2016-03-18 00:54:52,The Definitive C++ Book Guide and List,1207677,4265,"['c++', 'c++-faq']",True
6841333,2016-03-16 10:34:33,Why is subtracting these two times (in 1927) giving a strange result?,365036,4108,"['java', 'date', 'timezone']",True
336859,2016-02-04 18:05:39,var functionName = function() {} vs function functionName() {},590836,3777,"['javascript', 'function', 'syntax', 'idioms']",True
8318911,2016-01-31 12:08:56,Why does HTML think “chucknorris” is a color?,247696,3767,"['html', 'background-color']",True
549,2016-03-04 08:49:56,The definitive guide to form-based website authentication,391443,3746,"['security', 'http', 'authentication', 'language-agnostic', 'article']",True
4456438,2015-08-13 23:05:33,How do I correctly pass the string &quot;Null&quot; (an employee&#39;s proper surname) to a SOAP web service from ActionScript 3?,790270,3733,"['flex', 'actionscript', 'soap', 'coldfusion', 'wsdl']",True
6591213,2016-01-25 09:31:54,How do I rename the local branch?,869232,3586,"['git', 'git-branch']",True
359494,2016-01-04 13:26:38,Does it matter which equals operator (== vs ===) I use in JavaScript comparisons?,783662,3554,"['javascript', 'operators', 'equality', 'equality-operator', 'identity-operator']",True
61212,2016-03-02 02:09:47,How do I remove local (untracked) files from my current Git branch?,800428,3307,"['git', 'branch', 'git-branch']",True
487258,2016-03-10 23:03:36,Plain English explanation of Big O,416141,3303,"['algorithm', 'complexity-theory', 'computer-science', 'big-o', 'time-complexity']",True
2025282,2016-03-14 19:48:41,"Difference between px, dp, dip and sp on Android?",702673,3292,"['android', 'android-layout', 'user-interface', 'units-of-measurement']",True
7074,2016-03-16 19:35:32,What&#39;s the difference between String and string?,539902,3265,"['c#', 'string']",True
4114095,2016-03-17 11:04:04,Revert Git repo to a previous commit,2025447,3225,"['git', 'git-reset', 'git-revert']",True
244777,2016-03-18 21:38:56,Can I use comments inside a JSON file?,562618,3141,"['json', 'comments']",True
40480,2016-03-16 15:29:29,Is Java &quot;pass-by-reference&quot; or &quot;pass-by-value&quot;?,914976,3011,"['java', 'parameter-passing', 'terminology', 'pass-by-reference', 'pass-by-value']",True
